Time,rsr-7d759f6dc9-m99vb,rsr-7f589d447f-zzrf5,rsr-memcached-7fbb8d49f7-z6jwq
2025-08-30 08:30:00,4.137931034482759,,0
2025-08-30 09:00:00,4.137931034482759,,0
2025-08-30 09:30:00,5.172413793103448,,0
2025-08-30 10:00:00,4.137931034482759,,0
2025-08-30 10:30:00,4.137931034482759,,0
2025-08-30 11:00:00,5.172413793103448,,0
2025-08-30 11:30:00,4.137938168858912,,0
2025-08-30 12:00:00,5.172413793103448,,0
2025-08-30 12:30:00,4.137931034482759,,0
2025-08-30 13:00:00,5.172413793103448,,0
2025-08-30 13:30:00,5.172413793103448,,0
2025-08-30 14:00:00,3.1034482758620694,,0
